model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,17000,21.380805,2.8099330506847764e-07,10.56259822845459,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,18000,22.878035,1.9584381050208322e-07,11.149429321289062,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,19000,24.322069,0.0001690657518338412,15.809094429016113,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,20000,25.543437,0.00044055169564671814,9.561676979064941,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,21000,26.805325,0.00012104820052627474,9.991700172424316,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,22000,28.033437,6.235075852600858e-05,10.25197696685791,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,23000,29.284221,3.493557596812025e-05,10.653535842895508,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,24000,30.568164,2.103998849634081e-05,10.973442077636719,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,25000,31.832249,1.2865913959103636e-05,11.213431358337402,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,26000,33.054978,8.003981747606304e-06,11.344887733459473,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,27000,34.313355,4.887554950983031e-06,11.427570343017578,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,28000,35.591486,3.090916379733244e-06,11.679495811462402,1.0,0.0,1000,
