model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,0,0.003365,1.9466804265975952,1.9469587802886963,0.10000000149011612,0.17241379618644714,,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,500,0.486165,0.005545732565224171,13.67550277709961,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,1000,0.973312,0.002299358369782567,14.995028495788574,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,1500,1.499049,0.00132669135928154,15.698019027709961,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,2000,2.040539,0.0008884429698809981,15.917573928833008,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,2500,2.542835,0.000639012549072504,15.999552726745605,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,3000,3.04796,0.0004770572704728693,16.04804229736328,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,3500,3.54897,0.0003649298450909555,16.093860626220703,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,4000,4.061162,0.0002835047780536115,16.1573486328125,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,4500,4.54957,0.00022196918143890798,16.241100311279297,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,5000,5.049422,0.00017404019308742136,16.349220275878906,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,5500,5.607509,0.00013657344970852137,16.500246047973633,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,6000,6.147873,0.00010725801257649437,16.651952743530273,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,6500,6.655236,8.425907435594127e-05,16.73096466064453,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,7000,7.153276,6.647458940278739e-05,16.765132904052734,1.0,0.03448275849223137,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,7500,7.66146,5.2557832532329485e-05,16.774070739746094,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,8000,8.181819,4.1704402974573895e-05,16.76535415649414,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed4_30k.csv,20,29,cpu,8500,8.695115,3.322897100588307e-05,16.779443740844727,1.0,0.0,500,
