model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,0,0.00311,1.9403178691864014,1.951422929763794,0.15000000596046448,0.13793103396892548,,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,500,0.507954,0.021545594558119774,10.42636775970459,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,1000,1.02736,0.009424216113984585,10.625154495239258,1.0,0.13793103396892548,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,1500,1.524281,0.005790100432932377,10.568975448608398,1.0,0.13793103396892548,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,2000,2.018947,0.0040300642140209675,10.30096435546875,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,2500,2.559621,0.003047794569283724,10.09572982788086,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,3000,3.100197,0.002427504165098071,10.024890899658203,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,3500,3.627194,0.0019671530462801456,10.09952163696289,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,4000,4.161891,0.00160040776245296,10.334741592407227,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,4500,4.684655,0.0012976346770301461,10.715639114379883,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,5000,5.231765,0.0010474431328475475,11.11428451538086,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,5500,5.75679,0.0008431383175775409,11.520062446594238,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,6000,6.302024,0.0006713786860927939,11.946053504943848,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,6500,6.850054,0.0005360895302146673,12.299689292907715,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,7000,7.372817,0.0004317859129514545,12.617938995361328,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,7500,7.919468,0.00034425879130139947,12.958321571350098,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,8000,8.469542,0.0002743470831774175,13.252077102661133,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,8500,8.993132,0.00022071434068493545,13.506575584411621,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,9000,9.482424,0.00017887080321088433,13.856443405151367,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,scalar,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_scalar_seed4_30k.csv,20,29,cpu,9500,10.022752,0.00014507609012071043,14.356817245483398,1.0,0.17241379618644714,500,
