model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,0,0.004628,2.8320815563201904,2.83505916595459,0.06896551698446274,0.05780346691608429,,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,1000,1.465647,0.003929039463400841,16.912975311279297,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,2000,2.891212,0.001438084989786148,16.715639114379883,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,3000,4.40601,0.0007402317132800817,17.151844024658203,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,4000,5.856608,0.0004293428501114249,17.638729095458984,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,5000,7.296294,0.0002611361851450056,18.010719299316406,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,6000,8.786892,0.00016181281534954906,18.360139846801758,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,7000,10.233372,0.00010117762576555833,18.881532669067383,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,8000,11.726772,6.351176125463098e-05,19.547727584838867,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,9000,13.188695,3.987878153566271e-05,20.256763458251953,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,10000,14.683491,2.5044924768735655e-05,20.8961181640625,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,11000,16.198012,1.5696445188950747e-05,21.452749252319336,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,12000,17.708532,9.838825462793466e-06,21.945558547973633,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,13000,19.165751,6.177281647978816e-06,22.387290954589844,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,14000,20.693063,3.934926098736469e-06,22.86910629272461,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,15000,22.158183,2.5455260583839845e-06,23.26248550415039,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,16000,23.644847,1.690509520813066e-06,23.4628849029541,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,17000,25.154017,1.140708945968072e-06,23.68436622619629,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,18000,26.606494,7.851368195588293e-07,24.06026268005371,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,19000,28.141702,5.73437716866465e-07,24.489810943603516,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,20000,29.631584,4.758094291901216e-07,23.97185516357422,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,21000,31.082815,3.4324051512157894e-07,24.707265853881836,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,22000,32.591309,0.006928259041160345,12.17473030090332,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,23000,34.065019,0.002107037464156747,13.716791152954102,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,24000,35.558829,0.0011157069820910692,14.865548133850098,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,25000,37.022841,0.0006408561603166163,15.799678802490234,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,26000,38.485894,0.000393036927562207,16.740530014038086,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,27000,40.007596,0.0002483927528373897,17.40851593017578,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,28000,41.471984,0.00016090550343506038,17.910930633544922,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,29000,42.947802,0.000104560524050612,18.31406021118164,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,3,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed3_50k.csv,116,173,cpu,30000,44.459111,6.792908970965073e-05,18.69776725769043,1.0,0.0,1000,
