model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,0,0.008787,2.84121036529541,2.8323378562927246,0.06034482643008232,0.04624277353286743,,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,1000,1.536245,0.026391325518488884,13.86156940460205,1.0,0.4624277353286743,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,2000,3.076042,0.012316323816776276,13.806437492370605,1.0,0.4566473960876465,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,3000,4.651739,0.007541642989963293,14.579845428466797,1.0,0.4566473960876465,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,4000,6.235719,0.004939319100230932,15.722543716430664,1.0,0.47398844361305237,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,5000,7.836687,0.00327816279605031,16.41106605529785,1.0,0.5144508481025696,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,6000,9.443883,0.0022316928952932358,16.93699073791504,1.0,0.5144508481025696,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,7000,11.076722,0.0014953652862459421,17.434112548828125,1.0,0.5317919254302979,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,8000,12.715527,0.0009882237063720822,17.499483108520508,1.0,0.560693621635437,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,9000,14.322994,0.00065061409259215,17.15485382080078,1.0,0.5722543597221375,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,10000,15.891141,0.024456635117530823,10.678888320922852,1.0,0.5838150382041931,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,11000,17.497683,0.007313319481909275,12.958219528198242,1.0,0.5953757166862488,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,12000,19.049022,0.005007302388548851,13.50799560546875,1.0,0.5953757166862488,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,13000,20.646606,0.003312676679342985,13.37713623046875,1.0,0.6069363951683044,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,14000,22.21474,0.00239351368509233,13.724295616149902,1.0,0.6127167344093323,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,15000,23.746023,0.0017302428605034947,15.500234603881836,1.0,0.6069363951683044,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,16000,25.310635,0.001276243943721056,16.85658836364746,1.0,0.5838150382041931,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,17000,26.827055,0.0009347065933980048,17.372013092041016,1.0,0.5780346989631653,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,18000,28.397125,0.0006872332887724042,18.834115982055664,1.0,0.5838150382041931,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,19000,29.960212,0.00048358950880356133,19.447099685668945,1.0,0.5722543597221375,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,20000,31.556831,0.000340345868607983,19.861604690551758,1.0,0.5780346989631653,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,21000,33.172457,0.0002249644312541932,20.08321762084961,1.0,0.5838150382041931,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,22000,34.794073,0.00015619694022461772,19.864826202392578,1.0,0.5780346989631653,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,23000,36.428092,0.00010664193541742861,21.31329345703125,1.0,0.5780346989631653,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,24000,38.089544,7.442067726515234e-05,20.663135528564453,1.0,0.6011560559272766,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,25000,39.739173,5.42925663467031e-05,20.53789520263672,1.0,0.5953757166862488,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,26000,41.511153,3.68229448213242e-05,20.22194480895996,1.0,0.6011560559272766,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,27000,43.22749,2.7846892407978885e-05,20.760173797607422,1.0,0.6011560559272766,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,28000,44.842151,0.007480083964765072,11.002476692199707,1.0,0.6416184902191162,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,29000,46.388157,0.001931378385052085,14.978986740112305,1.0,0.6820809245109558,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,30000,47.972683,0.0013535019243136048,16.425668716430664,1.0,0.6820809245109558,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,31000,49.627681,0.0010175015777349472,17.49557113647461,1.0,0.676300585269928,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,32000,51.155201,0.0007694897358305752,17.706722259521484,1.0,0.6589595079421997,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,33000,52.752598,0.0005731708370149136,18.108823776245117,1.0,0.6531791687011719,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,34000,54.333794,0.00041653899825178087,17.82610511779785,1.0,0.6705202460289001,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,35000,55.899566,0.0003013427194673568,17.67906379699707,1.0,0.6589595079421997,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,36000,57.588611,0.0002197940048063174,16.892595291137695,1.0,0.6358381509780884,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,37000,59.264475,0.00016439556202385575,16.605695724487305,1.0,0.6358381509780884,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,38000,61.020879,0.0001228231267305091,15.383856773376465,1.0,0.6300578117370605,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,39000,62.704257,8.614260877948254e-05,15.768230438232422,1.0,0.6242774724960327,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,40000,64.45156,5.8537476434139535e-05,17.42546844482422,1.0,0.6358381509780884,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,41000,66.169267,4.060653373016976e-05,17.337242126464844,1.0,0.6705202460289001,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,42000,67.926845,3.042725620616693e-05,16.820323944091797,1.0,0.6705202460289001,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,43000,69.732285,2.3650176444789395e-05,16.988679885864258,1.0,0.6589595079421997,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,44000,71.486664,1.7898561054607853e-05,17.092926025390625,1.0,0.6531791687011719,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,45000,73.274937,1.3908255823480431e-05,18.795856475830078,1.0,0.6300578117370605,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,46000,75.052762,1.0941453183477279e-05,21.152631759643555,1.0,0.6184971332550049,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,47000,76.85408,8.667271686135791e-06,23.041366577148438,1.0,0.6184971332550049,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,48000,78.49953,0.0017420505173504353,8.351489067077637,1.0,0.647398829460144,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,49000,80.06768,0.0006196785834617913,10.387450218200684,1.0,0.6705202460289001,1000,
mlp,all_pairs,17,0.4,scalar,0,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed0_50k.csv,116,173,cpu,50000,81.767246,0.0004044945817440748,15.565712928771973,1.0,0.676300585269928,1000,


