model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,0,0.004114,2.83140230178833,2.834956645965576,0.06896551698446274,0.05780346691608429,,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,1000,1.498314,0.004032319877296686,16.758699417114258,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,2000,2.96586,0.0015177453169599175,16.35187530517578,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,3000,4.470772,0.0007817191653884947,16.583189010620117,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,4000,5.945833,0.0004522995441220701,17.05512237548828,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,5000,7.397147,0.0002747780818026513,17.589168548583984,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,6000,8.902556,0.00017051579197868705,18.16855239868164,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,7000,10.335811,0.00010613765334710479,18.723276138305664,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,8000,11.81991,6.578688771696761e-05,19.180513381958008,1.0,0.0,1000,
mlp,all_pairs,17,0.4,onehot,4,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_onehot_seed4_50k.csv,116,173,cpu,9000,13.369885,4.06741673941724e-05,19.594268798828125,1.0,0.0,1000,
