model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,0,0.003539,1.9384384155273438,1.9537962675094604,0.30000001192092896,0.1034482792019844,,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,500,0.498826,0.006077360361814499,13.633767127990723,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,1000,1.031326,0.002539918990805745,14.68306827545166,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,1500,1.526132,0.0014228366781026125,15.378705024719238,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,2000,2.016051,0.0009403758449479938,15.72961139678955,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,2500,2.559281,0.0006840810528956354,15.874513626098633,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,3000,3.111716,0.0005179973668418825,15.917070388793945,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,3500,3.628949,0.00039855780778452754,15.938797950744629,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,4000,4.160043,0.00030878756660968065,15.984258651733398,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,4500,4.673748,0.00023954252537805587,16.018251419067383,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,5000,5.211062,0.00018607807578518987,16.022645950317383,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,5500,5.722453,0.00014527435996569693,16.031782150268555,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,6000,6.266126,0.00011436791101004928,16.122600555419922,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,6500,6.804856,8.998053090181202e-05,16.33989715576172,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,7000,7.345633,7.053329318296164e-05,16.659523010253906,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,7500,7.867312,5.5591481213923544e-05,17.03057289123535,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,8000,8.416574,4.420168261276558e-05,17.41033172607422,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,8500,8.91295,3.548787935869768e-05,17.7713565826416,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,9000,9.438755,2.8562073566718027e-05,18.1347713470459,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,9500,9.96353,2.288788164150901e-05,18.498973846435547,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,10000,10.504883,1.8203067156719044e-05,18.849876403808594,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,10500,11.074497,1.4412284144782461e-05,19.170780181884766,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,11000,11.621557,1.1312889000691939e-05,19.427303314208984,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,11500,12.12825,8.887009244062938e-06,19.602819442749023,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,12000,12.635274,7.015439223323483e-06,19.741674423217773,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,12500,13.195679,5.561095804296201e-06,19.924419403076172,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,13000,13.687842,4.410732799442485e-06,20.120943069458008,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,13500,14.238808,3.498785645206226e-06,20.31927490234375,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,14000,14.784866,2.7537303139979485e-06,20.49911880493164,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,14500,15.307262,2.1517250843317015e-06,20.714094161987305,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,15000,15.812834,1.686810037426767e-06,20.989055633544922,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,15500,16.351711,1.3232222499937052e-06,21.34026527404785,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,16000,16.86475,1.0848040119526559e-06,21.615568161010742,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,16500,17.412309,8.702273817107198e-07,21.964916229248047,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,17000,17.913751,7.331369715757319e-07,22.33384132385254,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,17500,18.470857,6.020067644385563e-07,22.476167678833008,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,18000,18.997283,5.006789365324948e-07,22.570575714111328,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,18500,19.519805,4.112719693694089e-07,22.84981918334961,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,19000,20.034567,3.3974643542933336e-07,23.154369354248047,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,19500,20.516919,2.6822084464583895e-07,23.424638748168945,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,20000,21.041633,2.3841855067985307e-07,24.329723358154297,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,20500,21.572264,1.907348377017115e-07,25.141115188598633,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,21000,22.126798,1.7285344711126527e-07,25.581012725830078,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,21500,22.672796,1.4305113893442467e-07,25.73839569091797,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,22000,23.215395,1.311302071371756e-07,25.74952507019043,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,22500,23.753299,9.536742595628311e-08,25.618824005126953,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,23000,24.262488,9.536742595628311e-08,25.574586868286133,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,23500,24.762466,5.960463766996327e-08,25.70213508605957,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,24000,25.290768,8.940696005765858e-08,25.84864616394043,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,24500,25.783359,7.152556946721234e-08,25.982742309570312,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,25000,26.353418,4.768371297814156e-08,26.72140884399414,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,25500,26.874045,5.960463766996327e-08,29.00603675842285,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,26000,27.391687,8.344649415903405e-08,29.40323257446289,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,26500,27.901939,8.940696005765858e-08,28.849031448364258,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,27000,28.460914,9.536742595628311e-08,27.931983947753906,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,27500,28.968312,8.940696005765858e-08,28.396265029907227,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,28000,29.493707,1.0728835064810482e-07,30.935935974121094,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,28500,30.023926,1.0728835064810482e-07,30.494844436645508,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,29000,30.577039,8.940696005765858e-08,28.404953002929688,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,29500,31.118607,8.940696005765858e-08,26.899293899536133,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,2,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed2_30k.csv,20,29,cpu,30000,31.619754,5.960463766996327e-08,26.72196388244629,1.0,0.0,500,


